date,temp_c,humidity,rain_mm,is_rainy,weather_main
2025-04-01,28.6,77.4,0.0,False,Clouds
2025-04-02,29.1,67.1,1.2,True,Rain
2025-04-03,28.1,71.1,0.0,False,Clouds
2025-04-04,29.2,77.9,0.0,False,Clouds
2025-04-05,30.0,74.8,0.0,False,Clouds
2025-04-06,26.1,71.3,0.0,False,Clouds
2025-04-07,28.6,60.3,0.0,False,Clouds
2025-04-08,29.2,77.2,0.0,False,Clouds
2025-04-09,28.2,54.9,0.0,False,Clouds
2025-04-10,26.7,75.9,0.0,False,Clouds
2025-04-11,27.8,67.2,0.1,False,Clouds
2025-04-12,30.3,74.7,8.4,True,Rain
2025-04-13,29.1,75.9,2.1,True,Rain
2025-04-14,31.0,75.6,0.0,False,Clouds
2025-04-15,28.0,76.0,1.8,True,Rain
2025-04-16,27.2,81.1,0.0,False,Clouds
2025-04-17,28.7,79.6,0.0,False,Clouds
2025-04-18,30.0,74.5,0.0,False,Clouds
2025-04-19,29.3,69.6,0.0,False,Clouds
2025-04-20,27.2,76.0,0.0,False,Clouds
2025-04-21,30.7,82.2,5.3,True,Rain
2025-04-22,26.0,80.2,6.4,True,Rain
2025-04-23,30.9,74.2,0.0,False,Clouds
2025-04-24,28.4,72.4,0.0,False,Clouds
2025-04-25,28.5,71.6,1.5,True,Rain
2025-04-26,27.3,73.4,8.0,True,Rain
2025-04-27,30.7,71.5,0.0,False,Clouds
2025-04-28,28.5,80.3,32.3,True,Rain
2025-04-29,29.9,75.0,0.0,False,Clouds
2025-04-30,26.5,77.8,0.0,False,Clouds
2025-05-01,27.7,72.6,0.0,False,Clouds
2025-05-02,28.1,68.3,6.5,True,Rain
2025-05-03,28.7,78.9,0.0,False,Clouds
2025-05-04,29.8,80.6,0.0,False,Clouds
2025-05-05,29.1,74.4,0.0,False,Clouds
2025-05-06,27.7,77.1,0.0,False,Clouds
2025-05-07,29.1,76.5,0.0,False,Clouds
2025-05-08,26.0,74.1,0.0,False,Clouds
2025-05-09,30.3,58.0,1.1,True,Rain
2025-05-10,30.2,68.2,16.8,True,Rain
